0,16,15
1,20,20
2,7,10
3,25,30
4,50,40
5,30,42
6,12,35
7,10,50
8,21,12
9,80,70
10,88,50
11,6,19
12,1,5
13,14,20
14,70,62
15,40,30
16,30,36
17,13,55
18,15,69
19,50,70
20,60,60
21,12,10
22,21,15
23,0,2
24,2,0
25,7,8
26,19,19
27,15,25
28,85,75
29,90,30
30,80,35
31,5,4
32,19,2
33,22,8
34,11,12
35,12,10
36,6,8
37,54,45
38,0,0
39,90,50
40,13,14
41,20,19
42,12,10
43,35,30
44,33,33
45,12,20
46,10,7
47,4,70
48,80,13
49,39,29
50,14,20
51,15,39
52,90,55
53,70,49
54,50,12
55,14,16
56,5,19
57,2,5
58,60,28
59,22,27
60,10,21
61,70,50
62,90,80
63,13,17
64,5,0
65,5,13
66,10,25
67,75,65
68,69,70
69,40,39
70,30,22
71,22,29
72,2,11
73,30,19
74,0,12
75,90,50
76,70,15
77,80,20
78,3,13
79,90,80
80,15,8
81,25,8
82,5,7
83,4,7
84,70,50
85,0,1
86,12,70
87,70,19
88,12,3
89,20,5
90,8,4
91,90,80
92,70,50
93,89,55
94,44,80
95,80,100
96,60,14
97,2,6
98,3,10
99,7,50
100,90,50
101,92,70
102,6,2
103,7,1
104,12,0
105,0,0
106,26,12
107,90,70
108,12,7
109,70,90
110,88,70
111,80,77
112,5,2
113,27,25
114,2,11
115,8,0
116,80,77
117,29,25
118,35,24
119,60,60
120,12,21
121,4,0
122,90,66
123,98,70
124,6,0
125,30,12
126,9,2
127,33,55
128,10,12
129,90,70
130,9,7
131,42,80
132,3,0
133,60,12
134,80,80
135,80,70
136,80,70
137,80,60
138,80,100
139,85,100
140,60,10
141,65,19
142,75,10
143,90,80
144,10,10
145,75,70
146,75,100
147,79,10
148,55,60
149,75,100
150,80,80
151,63,23
152,91,100
153,51,10
154,50,70
155,58,70
156,50,70
157,50,70
158,51,22
159,68,62
160,89,82
161,80,72
162,82,70
163,82,60
164,72,55
165,65,72
166,82,51
167,92,80
168,52,60
169,12,30
170,62,40
171,52,60
172,22,20
173,52,20
174,62,50
175,2,10
176,52,60
177,52,15
178,42,80
179,51,40
180,70,60
181,62,50
182,75,85
183,15,25
184,35,10
185,65,87
186,15,85
187,71,80
188,71,75
189,66,85
190,25,23
191,25,15
192,91,95
193,75,81
194,75,53
195,43,15
196,65,92
197,75,83
198,15,27
199,95,45
200,90,15
201,58,45
202,5,25
203,51,22
204,10,29
205,51,72
206,31,67
207,21,17
208,41,27
209,81,70
210,90,27
211,61,17
212,81,87
213,61,7
214,50,17
215,21,5
216,41,27
217,88,87
218,61,96
219,51,57
220,69,77
221,51,80
222,61,62
223,83,72
224,81,87
225,90,72
226,11,2
227,3,5
228,84,73
229,17,5
230,42,51
231,7,9
232,72,19
233,80,32
234,60,32
235,8,12
236,10,52
237,80,72
238,80,72
239,80,92
240,80,72
241,80,72
242,20,22
243,20,12
244,92,70
245,40,50
246,94,80
247,48,87
248,40,70
249,86,65
250,6,15
251,74,19
252,76,69
253,26,39
254,97,59
255,17,10
256,87,80
257,99,70
258,97,80
259,34,69
260,17,10
261,97,61
262,27,21
263,94,49
264,64,70
265,84,79
266,80,19
267,70,11
268,8,10
269,28,18
270,84,90
271,81,92
272,21,42
273,20,22
274,82,95
275,62,90
276,21,72
277,31,92
278,31,82
279,41,72
280,71,74
281,60,74
282,94,95
283,87,97
284,38,40
285,39,41
286,79,51
287,79,81
288,70,71
289,71,75
290,36,49
291,24,42
292,86,90
293,64,62
294,86,90
295,64,62
296,87,98
297,74,72
298,17,18
299,14,32
300,12,10
301,34,22
302,20,11
303,44,12
304,50,15
305,44,32
306,59,65
307,64,72
308,57,95
309,84,82
310,29,25
311,34,42
312,79,55
313,64,62
314,88,78
315,84,72
316,92,60
317,90,50
318,97,60
319,95,50
320,87,60
321,80,50
322,15,10
323,10,30
324,35,24
